Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory
Stornoway Wind Farm project (was Lewis Wind Farm - Resubmission),Wind,Awaiting Construction,142695,934003,In development,Large (1MW+)
Navidale Estate,Wind,Awaiting Construction,303250,918542,In development,Large (1MW+)
Craigneil Hill,Wind,Application Submitted,380100,791000,In development,Large (1MW+)
Blarghour,Wind,Application Submitted,203718,713332,In development,Large (1MW+)
Hywind Scotland Pilot Park (Hywind 2) Demonstrator,Wind,Operational,433500,846500,Operational,Large (1MW+)
Harburnhead Wind Farm,Wind,Operational,304070,658330,Operational,Large (1MW+)
Forss Wind Farm,Wind,Operational,302000,969500,Operational,Large (1MW+)
Clyde Wind Farm Extension (Clyde 2),Wind,Operational,302328,624463,Operational,Large (1MW+)
Crystal Rig Wind Farm Phase III,Wind,Operational,366700,670500,Operational,Large (1MW+)
Windy Standard III Wind Farm (Brockloch Rig Phase 2),Wind,Application Submitted,257695,600320,In development,Large (1MW+)
LADEHEAD FARM - WIND TURBINES,Wind,Operational,279142,641223,Operational,Large (1MW+)
Blackcraig,Wind,Operational,270500,582500,Operational,Large (1MW+)
Whiteside Hill,Wind,Operational,271440,608920,Operational,Large (1MW+)
Cumberhead Wind Farm,Wind,Application Submitted,276581,632651,In development,Large (1MW+)
Beinn Tharsuinn Extension (Beinn nan Oighrean),Wind,Operational,266440,879840,Operational,Large (1MW+)
Sanquhar Community Windfarm,Wind,Operational,270311,607479,Operational,Large (1MW+)
Welton Of Creuchies,Wind,Operational,321622,750192,Operational,Large (1MW+)
Beinneun Windfarm Extension,Wind,Operational,220442,804419,Operational,Large (1MW+)
Andershaw,Wind,Operational,283500,625500,Operational,Large (1MW+)
Cairnborrow - resubmission,Wind,Operational,346153,841867,Operational,Large (1MW+)
Tullymurdoch Wind Farm,Wind,Operational,319575,752228,Operational,Large (1MW+)
Bhlaraidh (previously Balmacaan),Wind,Operational,244194,817221,Operational,Large (1MW+)
Brochloch Rig (formerly Windy Standard II),Wind,Operational,260200,602000,Operational,Large (1MW+)
Kilgallioch wind farm,Wind,Operational,220844,569576,Operational,Large (1MW+)
Drumduff,Wind,Operational,288877,669339,Operational,Large (1MW+)
Dunmaglass Wind Farm,Wind,Operational,264000,820120,Operational,Large (1MW+)
Tormywheel,Wind,Operational,295290,658102,Operational,Large (1MW+)
Auchrobert Wind Farm,Wind,Operational,275154,638500,Operational,Large (1MW+)
Carraig Gheal,Wind,Operational,196465,721170,Operational,Large (1MW+)
Corriegarth,Wind,Operational,257500,813500,Operational,Large (1MW+)
Robin Rigg East,Wind,Operational,291005,542348,Operational,Large (1MW+)
Robin Rigg West,Wind,Operational,288785,540522,Operational,Large (1MW+)
Beinneun,Wind,Operational,220442,804419,Operational,Large (1MW+)
Brotherton (formerly Paul Matthew Hill wind turbines),Wind,Operational,377397,769309,Operational,Large (1MW+)
Ewe Hill (extension),Wind,Operational,315000,580000,Operational,Large (1MW+)
Skeddoway Farm Wind Turbine,Wind,Operational,328104,697699,Operational,Large (1MW+)
Hoprigshiels Community Wind Farm,Wind,Operational,375631,669803,Operational,Large (1MW+)
Clentrie Wind Farm (Gevens),Wind,Operational,322212,692370,Operational,Large (1MW+)
Craigannet Farm Wind Turbine,Wind,Operational,271250,685550,Operational,Large (1MW+)
Beatrice Demonstrator,Wind,Operational,347955,929690,Operational,Large (1MW+)
Rothes Wind (Cairn Uish),Wind,Operational,318500,850500,Operational,Large (1MW+)
Freasdail Wind Farm,Wind,Operational,182440,659197,Operational,Large (1MW+)
Minnygap (Resubmission),Wind,Operational,303800,596000,Operational,Large (1MW+)
Craig Wind Farm (Extension),Wind,Operational,202000,557000,Operational,Large (1MW+)
Lochend Wind Farm,Wind,Operational,326691,968145,Operational,Large (1MW+)
Causeymire,Wind,Operational,336736,951086,Operational,Large (1MW+)
NEILSTON WIND FARM,Wind,Operational,245292,653952,Operational,Large (1MW+)
Middle Balbeggie Wind Turbines,Wind,Operational,327760,696279,Operational,Large (1MW+)
Ferneylea Farm,Wind,Operational,373982,669162,Operational,Large (1MW+)
Pearie Law Wind Farm,Wind,Operational,302205,659690,Operational,Large (1MW+)
Southrigg,Wind,Operational,291875,665563,Operational,Large (1MW+)
Kinegar Quarry (resubmission),Wind,Operational,377377,671362,Operational,Large (1MW+)
Hill of Tillymorgan (Kirkton Farm) Wind turbines (resubmission),Wind,Operational,363363,828345,Operational,Large (1MW+)
Quixwood Moor,Wind,Operational,378028,663859,Operational,Large (1MW+)
Millour Hill Community Windfarm (Extension) resubmission,Wind,Operational,225498,652662,Operational,Large (1MW+)
Hill of Glaschyle Wind Farm,Wind,Operational,303306,847855,Operational,Large (1MW+)
Glenchamber Wind Farm,Wind,Operational,223765,566671,Operational,Large (1MW+)
Assel Valley Wind Farm,Wind,Operational,223370,595995,Operational,Large (1MW+)
Gawnsmoss Cluster,Wind,Operational,363483,859316,Operational,Large (1MW+)
Galawhistle,Wind,Operational,275440,629090,Operational,Large (1MW+)
BROWNIELEYS - 3 WIND TURBINES,Wind,Operational,376967,772114,Operational,Large (1MW+)
Lochluichart (Extension),Wind,Operational,230678,869136,Operational,Large (1MW+)
Point Wind / Beinn Ghrideag Farm,Wind,Operational,136899,933106,Operational,Large (1MW+)
Dersalloch,Wind,Operational,242150,603950,Operational,Large (1MW+)
Edintore Wind Farm,Wind,Operational,342422,846573,Operational,Large (1MW+)
Sunnyside wind cluster,Wind,Operational,276612,611178,Operational,Large (1MW+)
Ardoch and Over Enoch Wind Farm (Over Enoch),Wind,Operational,258600,648600,Operational,Large (1MW+)
Ardoch and Over Enoch Wind Farm (Ardoch),Wind,Operational,258534,649697,Operational,Large (1MW+)
Noble Foods,Wind,Operational,328104,697428,Operational,Large (1MW+)
Marshill Farm,Wind,Operational,278551,645431,Operational,Large (1MW+)
KELLAS WIND FARM,Wind,Operational,316592,853931,Operational,Large (1MW+)
Easter Melrose Wind Energy Project,Wind,Operational,375187,863494,Operational,Large (1MW+)
Woodlands Wind Farm,Wind,Operational,279826,639404,Operational,Large (1MW+)
Earlsburn,Wind,Operational,269652,688422,Operational,Large (1MW+)
Muirhall Extension,Wind,Operational,299342,652838,Operational,Large (1MW+)
Carscreugh Renewable Energy Park,Wind,Operational,225000,555000,Operational,Large (1MW+)
Loch Sminig Wind Project,Wind,Operational,137480,952680,Operational,Large (1MW+)
Earlsburn North (Kingsburn) Wind Farm,Wind,Operational,268000,690500,Operational,Large (1MW+)
Penmanshiel Wind Farm,Wind,Operational,380006,667129,Operational,Large (1MW+)
Moy Wind Farm (2nd Application),Wind,Operational,276947,835012,Operational,Large (1MW+)
Black Law Extension - 1b,Wind,Operational,289500,653500,Operational,Large (1MW+)
Green Knowes,Wind,Operational,296850,707550,Operational,Large (1MW+)
Forss Wind Farm (Extension),Wind,Operational,302000,969500,Operational,Large (1MW+)
Droop Hill Wind Farm x,Wind,Operational,375708,781360,Operational,Large (1MW+)
Milton of Fisherie Wind Cluster,Wind,Operational,375067,859014,Operational,Large (1MW+)
Black Law Extension - 1a,Wind,Operational,289500,653500,Operational,Large (1MW+)
Goathill Quarry Turbine,Wind,Operational,317941,688959,Operational,Large (1MW+)
Mossmorran Wind Farm,Wind,Operational,318109,689419,Operational,Large (1MW+)
Srondoire Community Wind Farm,Wind,Operational,182700,676700,Operational,Large (1MW+)
Gremista Wind Farm,Wind,Operational,446287,1145628,Operational,Large (1MW+)
Stroupster Wind Farm - additional turbine,Wind,Operational,333969,965435,Operational,Large (1MW+)
Muirhall South,Wind,Operational,299342,652838,Operational,Large (1MW+)
Plascow wind cluster (resubmission),Wind,Operational,287380,563820,Operational,Large (1MW+)
Burnhead,Wind,Operational,289158,670199,Operational,Large (1MW+)
Rhodders Wind Farm,Wind,Operational,289525,702720,Operational,Large (1MW+)
Rosehill Wind Turbines,Wind,Operational,286252,686188,Operational,Large (1MW+)
Glens of Foudland,Wind,Operational,361900,837400,Operational,Large (1MW+)
Hill of Stroupster Windfarm,Wind,Operational,334250,966250,Operational,Large (1MW+)
Dungavel Hill,Wind,Operational,267954,636995,Operational,Large (1MW+)
Strathy North,Wind,Operational,281550,957550,Operational,Large (1MW+)
Langhope Rig,Wind,Operational,340680,620050,Operational,Large (1MW+)
Bankend Rig II Wind Farm,Wind,Application Submitted,264000,633700,In development,Large (1MW+)
Forrestfield Wind Farm,Wind,Application Submitted,286350,666350,In development,Large (1MW+)
Skeddoway Farm Wind Turbine (Resubmission),Wind,Operational,328104,697699,Operational,Large (1MW+)
Bankend Wind Farm (extension),Wind,Application Submitted,264000,633700,In development,Large (1MW+)
Torrance Farm Wind Park Extension,Wind,Operational,290908,666200,Operational,Large (1MW+)
Clashindarroch 2 (Revised),Wind,Operational,348000,831000,Operational,Large (1MW+)
GlaxoSmithKline Wind Project (Turbine 4),Wind,Operational,235111,636360,Operational,Large (1MW+)
Tod Hill Farm Wind Turbines,Wind,Operational,284064,683742,Operational,Large (1MW+)
Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm,Wind,Operational,390213,840362,Operational,Large (1MW+)
Bonerbo Wind Turbines (resubmission),Wind,Operational,353841,707688,Operational,Large (1MW+)
Nutberry Wind Farm,Wind,Operational,279021,635662,Operational,Large (1MW+)
Calder Water Community Wind Farm,Wind,Operational,260869,640428,Operational,Large (1MW+)
Millour Hill Community Windfarm (Re-submission),Wind,Operational,225843,652080,Operational,Large (1MW+)
"Hillhead of Auquhirie, Resubmission",Wind,Operational,328500,785500,Operational,Large (1MW+)
Middleton Wind Farm,Wind,Operational,253158,656019,Operational,Large (1MW+)
Land South East Of Auchterhead,Wind,Application Submitted,287876,654682,In development,Large (1MW+)
Netherton of Windyhills,Wind,Operational,348948,857294,Operational,Large (1MW+)
Monan Hill Wind Turbines,Wind,Operational,114171,904933,Operational,Large (1MW+)
St Johns Wells Wind Cluster Extension,Wind,Operational,379960,836480,Operational,Large (1MW+)
Greenhill Croft,Wind,Operational,388080,856083,Operational,Large (1MW+)
Castle of Auchry Farm,Wind,Operational,373109,821437,Operational,Large (1MW+)
Yonderton Farm,Wind,Operational,403588,837834,Operational,Large (1MW+)
Auchinderran Wind Farm,Wind,Operational,361419,854774,Operational,Large (1MW+)
Craig Wind Farm,Wind,Operational,331995,586055,Operational,Large (1MW+)
Braes O'Doune,Wind,Operational,272590,710500,Operational,Large (1MW+)
Carcant Windfarm,Wind,Operational,336250,652850,Operational,Large (1MW+)
New Holland,Wind,Operational,350053,1003214,Operational,Large (1MW+)
Lochluichart,Wind,Operational,232030,866235,Operational,Large (1MW+)
Blantyre Muir Wind Farm extension,Wind,Operational,268888,651781,Operational,Large (1MW+)
Ark Hill,Wind,Operational,335700,742600,Operational,Large (1MW+)
Edinbane Wind Farm,Wind,Operational,134353,850769,Operational,Large (1MW+)
Damhead Farm,Wind,Operational,279061,663992,Operational,Large (1MW+)
Jacksbank Wind Farm (Glenbervie),Wind,Operational,376574,783246,Operational,Large (1MW+)
Barlockhart Moor,Wind,Operational,221183,555886,Operational,Large (1MW+)
Burnfoot Hill Extension,Wind,Operational,290393,703943,Operational,Large (1MW+)
Bogenlea Farm,Wind,Operational,382155,852949,Operational,Large (1MW+)
Earlseat,Wind,Operational,332961,698416,Operational,Large (1MW+)
West Browncastle,Wind,Operational,261117,642821,Operational,Large (1MW+)
Harestanes,Wind,Operational,300000,595000,Operational,Large (1MW+)
Kildrummy Windfarm,Wind,Operational,357655,815170,Operational,Large (1MW+)
Meikle Carewe (Re-Submission),Wind,Operational,383200,792000,Operational,Large (1MW+)
Barns of Ayre Wind Turbines (2),Wind,Operational,358890,1004047,Operational,Large (1MW+)
Phase 1 Bettyhill Wind Farm,Wind,Operational,272326,962920,Operational,Large (1MW+)
Tullo Wind Farm North Extension (Shiels Wind Farm),Wind,Operational,375080,772580,Operational,Large (1MW+)
Torrance Farm,Wind,Operational,290842,665671,Operational,Large (1MW+)
Blantyre Muir Wind Farm,Wind,Operational,268888,651781,Operational,Large (1MW+)
Little Byth,Wind,Operational,382764,857480,Operational,Large (1MW+)
Calliachar,Wind,Operational,285000,750000,Operational,Large (1MW+)
Land at Overside and Greenwellheads Farms,Wind,Operational,406123,854692,Operational,Large (1MW+)
Bu Farm,Wind,Operational,362283,1023560,Operational,Large (1MW+)
Bowbeat Wind Farm,Wind,Operational,329600,647500,Operational,Large (1MW+)
Crystal Rig Extension II,Wind,Operational,366000,669000,Operational,Large (1MW+)
West Knock Wind Cluster,Wind,Operational,398494,844840,Operational,Large (1MW+)
Hill of Easterton Extension,Wind,Operational,376449,831808,Operational,Large (1MW+)
GlaxoSmithKline Wind Project,Wind,Operational,234144,636959,Operational,Large (1MW+)
Myreton Crossroads,Wind,Operational,349741,856864,Operational,Large (1MW+)
Dun Law,Wind,Operational,347069,657344,Operational,Large (1MW+)
Dun Law Extension,Wind,Operational,347276,655153,Operational,Large (1MW+)
Cathkin Braes Wind Farm (Castlemilk),Wind,Operational,261220,658203,Operational,Large (1MW+)
Rothes Wind Farm (Extension) (II),Wind,Operational,318500,850500,Operational,Large (1MW+)
St John Hill,Wind,Operational,383502,778054,Operational,Large (1MW+)
Beinn an Tuirc,Wind,Operational,173950,636900,Operational,Large (1MW+)
Gordonstown Hill Wind Farm,Wind,Operational,371136,841396,Operational,Large (1MW+)
Westfield,Wind,Operational,319640,695487,Operational,Large (1MW+)
Wathegar wind farm,Wind,Operational,328540,950761,Operational,Large (1MW+)
Brockholes Wind Cluster,Wind,Operational,382080,663751,Operational,Large (1MW+)
Pentland Road Wind Farm,Wind,Operational,135500,938700,Operational,Large (1MW+)
Glenurquhart and Strathglass Wind Farm project,Wind,Operational,234250,824290,Operational,Large (1MW+)
Baillie Wind Farm,Wind,Operational,302550,965650,Operational,Large (1MW+)
Bankend Rig,Wind,Operational,265553,633692,Operational,Large (1MW+)
Whitelee Windfarm Extension Phase 1,Wind,Operational,256300,645000,Operational,Large (1MW+)
Whitelee Windfarm Extension phase 2,Wind,Operational,254220,640867,Operational,Large (1MW+)
The Rosti Factory,Wind,Operational,276956,649658,Operational,Large (1MW+)
Gallowhill,Wind,Operational,344124,1043753,Operational,Large (1MW+)
St Fergus Moss Wind Farm,Wind,Operational,405416,853549,Operational,Large (1MW+)
Rosehall Hill Forest Windfarm,Wind,Operational,249550,903550,Operational,Large (1MW+)
Clochnahill Wind Farm,Wind,Operational,382413,782503,Operational,Large (1MW+)
Allt Dearg Wind Farmers LLP,Wind,Operational,182893,676616,Operational,Large (1MW+)
Spurness Wind Farm Repowering,Wind,Operational,360531,1033828,Operational,Large (1MW+)
Methlick Farmers Wind Energy Project,Wind,Operational,385500,837500,Operational,Large (1MW+)
Gordonbush,Wind,Operational,284500,909500,Operational,Large (1MW+)
"F M C Land, Pitreavie Business Park",Wind,Operational,310145,685510,Operational,Large (1MW+)
Lairg Wind Farm,Wind,Operational,261293,903916,Operational,Large (1MW+)
Muirake,Wind,Operational,356817,858161,Operational,Large (1MW+)
Glenkerie Wind Farm,Wind,Operational,310453,628117,Operational,Large (1MW+)
Griffin Wind farm,Wind,Operational,293600,744600,Operational,Large (1MW+)
Flotta,Wind,Operational,336770,995385,Operational,Large (1MW+)
Ben Aketil Extension,Wind,Operational,132500,846500,Operational,Large (1MW+)
Tangy Wind Farm Extension/Tangy 2,Wind,Operational,177000,626200,Operational,Large (1MW+)
Tangy Wind Farm/Tangy 1,Wind,Operational,168500,628500,Operational,Large (1MW+)
FMC Technologies,Wind,Operational,310010,685787,Operational,Large (1MW+)
Black Law,Wind,Operational,289500,653500,Operational,Large (1MW+)
Arecleoch Windfarm,Wind,Operational,221500,578500,Operational,Large (1MW+)
Kilbraur Windfarm Farlary - Extension,Wind,Operational,283124,902064,Operational,Large (1MW+)
Upper Ardgrain Wind Farm,Wind,Operational,396508,835110,Operational,Large (1MW+)
Denhill,Wind,Operational,379611,835693,Operational,Large (1MW+)
Haddo,Wind,Operational,381628,837639,Operational,Large (1MW+)
Gairnieston Farm,Wind,Operational,374750,856031,Operational,Large (1MW+)
Mark Hill,Wind,Operational,225000,585000,Operational,Large (1MW+)
Muirhall,Wind,Operational,300605,653760,Operational,Large (1MW+)
Achany Wind Farm,Wind,Operational,252350,904150,Operational,Large (1MW+)
"West Hill, Flotta",Wind,Operational,335252,993820,Operational,Large (1MW+)
Lochelbank Wind Farm II,Wind,Operational,311440,713477,Operational,Large (1MW+)
Millennium Extension II,Wind,Operational,225679,810840,Operational,Large (1MW+)
"Bendealt Wind Farm, Highland",Wind,Operational,255500,871000,Operational,Large (1MW+)
Hagshaw Hill Wind Farm,Wind,Operational,278980,630740,Operational,Large (1MW+)
"Hagshaw Hill (S15) Wind Farm, Lanarkshire",Wind,Operational,278965,630750,Operational,Large (1MW+)
Beinn Tharsuinn Windfarm Project,Wind,Operational,261700,881900,Operational,Large (1MW+)
Roughside Hill,Wind,Operational,333000,646200,Operational,Large (1MW+)
Burnfoot Hill,Wind,Operational,290135,703250,Operational,Large (1MW+)
Hammar's Hill,Wind,Operational,338644,1023698,Operational,Large (1MW+)
Crystal Rig Wind Farm Phase 2a,Wind,Operational,367000,667500,Operational,Large (1MW+)
Toddleburn,Wind,Operational,345050,653150,Operational,Large (1MW+)
Cairnmore Farm,Wind,Operational,351086,825261,Operational,Large (1MW+)
Boyndie Airfield Extension,Wind,Operational,361206,863606,Operational,Large (1MW+)
Strath of Brydock - Extension,Wind,Operational,365391,859727,Operational,Large (1MW+)
Craigengelt,Wind,Operational,272451,686495,Operational,Large (1MW+)
Achairn,Wind,Operational,329950,950650,Operational,Large (1MW+)
Hill of Lybster,Wind,Operational,302000,969500,Operational,Large (1MW+)
Hill of Balquhindachy extension,Wind,Operational,385642,842482,Operational,Large (1MW+)
"Burgar Hill (land Near), Evie",Wind,Operational,334300,1026200,Operational,Large (1MW+)
Longpark,Wind,Operational,348050,642050,Operational,Large (1MW+)
Whitelee,Wind,Operational,256800,645435,Operational,Large (1MW+)
Crystal Rig Phase 1,Wind,Operational,368350,665650,Operational,Large (1MW+)
Pates Hill,Wind,Operational,299130,659300,Operational,Large (1MW+)
Rothiesholm,Wind,Operational,362283,1023560,Operational,Large (1MW+)
Arnish Moor,Wind,Operational,139155,929460,Operational,Large (1MW+)
Meall an Tuirc Wind Farm,Wind,Operational,255500,871500,Operational,Large (1MW+)
Bilbster Wind Farm,Wind,Operational,327150,951850,Operational,Large (1MW+)
Greendykeside,Wind,Operational,281134,670403,Operational,Large (1MW+)
Thorfinn Wind Farm - NM1500,Wind,Operational,334600,1025700,Operational,Large (1MW+)
Burgar Hill,Wind,Operational,334300,1026200,Operational,Large (1MW+)
Thorfinn Wind Farm - NM2000,Wind,Operational,334790,1025240,Operational,Large (1MW+)
Burradale Hill,Wind,Operational,442500,1142500,Operational,Large (1MW+)
Hill of Easterton,Wind,Operational,376449,831808,Operational,Large (1MW+)
Hagshaw Hill Wind Farm Extension,Wind,Operational,279000,632000,Operational,Large (1MW+)
Hadyard Hill,Wind,Operational,226478,599253,Operational,Large (1MW+)
Lochhead Farm,Wind,Operational,275500,646500,Operational,Large (1MW+)
Beinn Ghlas Wind Farm,Wind,Operational,196500,726000,Operational,Large (1MW+)
Cruach Mhor,Wind,Operational,203500,687400,Operational,Large (1MW+)
Myres Hill,Wind,Operational,256840,646620,Operational,Large (1MW+)
Lerwick,Fossil Fuel,Operational,446456,1142790,Operational,Large (1MW+)
Peterhead,Fossil Fuel,Operational,412790,843093,Operational,Large (1MW+)
Arnish,Fossil Fuel,Operational,142229,930499,Operational,Large (1MW+)
Barra,Fossil Fuel,Operational,71706,803309,Operational,Large (1MW+)
Bowmore,Fossil Fuel,Operational,132024,660214,Operational,Large (1MW+)
Kirkwall,Fossil Fuel,Operational,344667,1010985,Operational,Large (1MW+)
Loch Carnan,Fossil Fuel,Operational,83233,842636,Operational,Large (1MW+)
Stornoway,Fossil Fuel,Operational,143150,932158,Operational,Large (1MW+)
Tiree,Fossil Fuel,Operational,100030,744120,Operational,Large (1MW+)
Auchtertyre,Hydro,Operational,235422,729327,Operational,Small to medium (>=45kW and <1MW)
Garry Gualach,Hydro,Operational,216600,799800,Operational,Small to medium (>=45kW and <1MW)
Glen Tarbert,Hydro,Operational,186600,760500,Operational,Small to medium (>=45kW and <1MW)
Inverbain,Hydro,Operational,178095.5186,856066.1849,Operational,Small to medium (>=45kW and <1MW)
Stanley Mill,Hydro,Operational,311430,732835,Operational,Small to medium (>=45kW and <1MW)
Awe Barrage - A,Hydro,Operational,202987,729485,Operational,Small to medium (>=45kW and <1MW)
Beannachran Dam - A,Hydro,Operational,233926.1258,831784.3843,Operational,Small to medium (>=45kW and <1MW)
Cladach Dam,Hydro,Operational,219715,595201,Operational,Small to medium (>=45kW and <1MW)
Cluanie Dam  - A,Hydro,Operational,218164.204,809842.5173,Operational,Small to medium (>=45kW and <1MW)
Clunie Dam - A,Hydro,Operational,293345.8959,757790.003,Operational,Small to medium (>=45kW and <1MW)
"Duchally Power Station - A,C,E",Hydro,Operational,238694.1282,916750.919,Operational,Small to medium (>=45kW and <1MW)
Dundreggan Dam A,Hydro,Operational,231413.0826,813651.7016,Operational,Small to medium (>=45kW and <1MW)
Gisla Power Station - A,Hydro,Operational,113291.0388,926162.8848,Operational,Small to medium (>=45kW and <1MW)
"Invergarry Dam - A, E",Hydro,Operational,238862.9652,809324.0093,Operational,Small to medium (>=45kW and <1MW)
"Kilmelford Compset  A,C",Hydro,Operational,183921.6869,712587.0064,Operational,Small to medium (>=45kW and <1MW)
Lochay Fish Pass Generator  -  C,Hydro,Operational,256968.2024,734182.0673,Operational,Small to medium (>=45kW and <1MW)
"Loyne Power Station - A,C",Hydro,Operational,228554.8898,813307.0187,Operational,Small to medium (>=45kW and <1MW)
Luichart Dam - A,Hydro,Operational,232652.8391,862232.7486,Operational,Small to medium (>=45kW and <1MW)
Meig Dam,Hydro,Operational,237124.6647,855942.3608,Operational,Small to medium (>=45kW and <1MW)
Misgeach Power Station - A,Hydro,Operational,229571.0183,838608.3761,Operational,Small to medium (>=45kW and <1MW)
"Morar Power Station - A,C",Hydro,Operational,168582.0259,792663.6294,Operational,Small to medium (>=45kW and <1MW)
Orrin Dam - A,Hydro,Operational,245505.3941,856091.6158,Operational,Small to medium (>=45kW and <1MW)
Pitlochry Compensation Generation - A,Hydro,Operational,293500.038,757752.0142,Operational,Small to medium (>=45kW and <1MW)
Quoich Dam - A,Hydro,Operational,216881.8432,800852.8905,Operational,Small to medium (>=45kW and <1MW)
Shin Diversion Dam - A,Hydro,Operational,257261.3273,897258.4795,Operational,Small to medium (>=45kW and <1MW)
Stronuich Power Station - A,Hydro,Operational,250616.8964,742103.8882,Operational,Small to medium (>=45kW and <1MW)
"Tobermory Power Station - A,E",Hydro,Operational,148722.4198,755603.4027,Operational,Small to medium (>=45kW and <1MW)
Tralaig Power Station,Hydro,Operational,183921.6869,712587.0064,Operational,Small to medium (>=45kW and <1MW)
Trinafour Power Station - A,Hydro,Operational,270988.1369,765725.1915,Operational,Small to medium (>=45kW and <1MW)
Vaich Power Station,Hydro,Operational,234419.6788,875106.5866,Operational,Small to medium (>=45kW and <1MW)
Upper Falloch,Hydro,Operational,236978,723752,Operational,Small to medium (>=45kW and <1MW)
Edinburgh College,Photovoltaic,Operational,332566,665887,Operational,Small to medium (>=45kW and <1MW)
East Kilbride,Wind,Operational,264500,652000,Operational,Small to medium (>=45kW and <1MW)
Breadalbane Community Campus,Biomass,Operating,285347,748799,Operational,Large (1MW+)
Queen Margaret University College,Biomass,Operating,333055,671433,Operational,Large (1MW+)
Shetland Heat And Power Ltd (Sheap) Aka Lerwick District Heating Scheme,Energy From Waste,Operating,446402,1142976,Operational,Large (1MW+)
Mawmill Farm Gshp,Ground Source Heat Pump,Under construction,308528,698829,In development,Large (1MW+)
East Lothian Eggs Gshp Shed,Ground Source Heat Pump,"Consented, not built",350111,667523,In development,Large (1MW+)
Craignathro Farm Gshp,Ground Source Heat Pump,"Consented, not built",346134,748908,In development,Large (1MW+)
Queens Quay District Heating Scheme,Water Source Heat Pump,Operating,249749,669542,Operational,Large (1MW+)
Glenmhoresco,Water Source Heat Pump,Operating,266529,844694,Operational,Large (1MW+)
Ormsary Fish Farm Wshp,Water Source Heat Pump,"Consented, not built",173493,671834,In development,Large (1MW+)
Hunterston B,Nuclear,Operational,218252,651517,Operational,Large (1MW+)
Torness,Nuclear,Operational,374500,675100,Operational,Large (1MW+)
